Course,CourseTitle,CRN,CourseDates,CourseDays,CourseTimes,Room,CreditHours,Enrolled,AvailableSeats,MaxSeats,ScheduleType,InstructionalMethod,Campus,Instructor,Comments,LACCategory,CourseMaterialType,CourseMaterialCost
SOC364-101,Meth of Soc Res II Lab,20757,01/09/2023 05/07/2023,M W,10:10am-11:00am,Candelaria Hall 1170,1,0,20,20,Laboratory,Face to Face,Main Campus,Rebecca Beals,,,,
SOC378-001,Sociology of Education,24109,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 0045,3,0,40,40,Lecture,Face to Face,Main Campus,Rebecca Beals,,,,
SOC395-001,Work and Family,24110,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Candelaria Hall 0065,3,0,40,40,Lecture,Face to Face,Main Campus,Sandra Harmon,,,,
SOC400-001,Senior Seminar,21069,01/09/2023 05/07/2023,T,2:30pm-5:30pm,Candelaria Hall 2280,3,0,20,20,Seminar,Face to Face,Main Campus,Melanie Moore,,,,
SOC495-001,Power & Privilege,24112,01/09/2023 05/07/2023,M,1:25pm-4:25pm,Candelaria Hall 2295,3,0,20,20,Lecture,Face to Face,Main Campus,Rebecca Beals,,,,
SOC552-001,Applied Social Theory,24114,01/09/2023 05/07/2023,R,11:00am-1:45pm,Candelaria Hall 1045,3,0,20,20,Seminar,Face to Face,Main Campus,Angela Henderson,,,,
SOC597-001,Power & Privilege,24113,01/09/2023 05/07/2023,M,1:25pm-4:25pm,Candelaria Hall 2295,3,0,10,10,Lecture,Face to Face,Main Campus,Rebecca Beals,,,,
SOSC341-001,Teach Secondary Soc/Study,20244,01/09/2023 05/07/2023,T R,3:30pm-4:45pm,Ross Hall 0275,3,0,25,25,Lecture,Face to Face,Main Campus,Kelly Langley Cook,,,,
SPAN101-003,Elementary Spanish I,22918,01/09/2023 05/07/2023,M W F,9:05am-9:55am,Candelaria Hall 0375,5,0,25,25,Lecture,Face to Face,Main Campus,Karla Del Carpio Ovando,,LC7,,
SPAN202-001,AH4-Intermediate Spanish II,20240,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Candelaria Hall 2170,3,0,25,25,Lecture,Face to Face,Main Campus,John Ryan,,"LAA4, LAIS, LC3D, LC7",,
SPAN301-001,Spanish Grammar,20241,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Candelaria Hall 0375,3,0,25,25,Lecture,Face to Face,Main Campus,Karla Del Carpio Ovando,,,,
SPAN302-001,Spanish Composition,20242,01/09/2023 05/07/2023,M W F,9:05am-9:55am,Candelaria Hall 0315,3,0,25,25,Lecture,Face to Face,Main Campus,Efrain Garza,,,,
SPAN304-001,Intro to Hispanic Lit,20819,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 0315,3,0,35,35,Lecture,Face to Face,Main Campus,Efrain Garza,,,,
SPAN331-001,Latin Amer Civ & Culture,24074,01/09/2023 05/07/2023,M W F,3:35pm-4:25pm,Candelaria Hall 0375,3,0,25,25,Lecture,Face to Face,Main Campus,Enrique Bernales Albites,,,,
SPAN450-001,Masterpieces Spanish Lit,24075,01/09/2023 05/07/2023,M W F,12:20pm-1:10pm,Candelaria Hall 0375,3,0,25,25,Lecture,Face to Face,Main Campus,Efrain Garza,,,,
SPSY618-009,Child/Adolesc/Fam Interv,22712,01/09/2023 05/07/2023,T R,3:30pm-7:30pm,McKee 0142,5,0,10,10,Clinical,Internship/Practica,Main Campus,Stephanie Kriescher,,,,
SPSY640-010,School-Based Consultation,22714,01/09/2023 05/07/2023,T,12:00pm-3:00pm,Candelaria Hall 2190,3,0,25,25,Lecture,Face to Face,Main Campus,Jacqueline Anderson,Synchronous Online - This course will include virtual meetings on the days and times indicated on the schedule. Support available at www.unco.edu/Canvas.,,,
SPSY647-012,Soc/Emo Assess/Intervent,23461,01/09/2023 05/07/2023,T,9:00am-12:00pm,McKee 0044E,5,0,15,15,Lecture,Face to Face,Main Campus,Stephanie Kriescher,,,,
SPSY655-001,Family/Sch/Comm Contexts,24407,01/09/2023 05/07/2023,W,1:00pm-4:00pm,McKee 0228,3,0,25,25,Lecture,Face to Face,Main Campus,Jacqueline Anderson,,,,
SPSY663-008,Sem in Res/Prof Practice,22717,01/09/2023 05/07/2023,T,9:00am-11:00am,Candelaria Hall 1170,1,0,20,20,Seminar,Face to Face,Main Campus,Jacqueline Anderson,,,,
SPSY775-008,Supervision in Sch Psych,22719,01/09/2023 05/07/2023,W,9:00am-12:00pm,McKee 0230,3,0,0,0,Clinical,Internship/Practica,Main Campus,Jacqueline Anderson,Additional hours arranged,,,
SPSY776-001,Externship in Sch Psych,22720,01/09/2023 05/07/2023,W,9:00am-12:00pm,McKee 0252,2-Jan,0,10,10,Clinical,Internship/Practica,Main Campus,Jacqueline Anderson,Online additional hours arranged.,,,
SPSY778-001,Clinical Neuropsych Prac,24409,01/09/2023 05/07/2023,M,6:00pm-9:00pm,McKee 0230,3,0,25,25,Practicum/Clinical,Internship/Practica,Main Campus,Betsy Basch,,,,
SPSY779-010,Prac in School Psychology,22721,01/09/2023 05/07/2023,W,4:30pm-7:30pm,McKee 0254,3-Jan,0,15,15,Practicum/Clinical,Internship/Practica,Main Campus,Stephanie Kriescher,,,,
